"tick","Performance"
1.0,122.14779661016951
2.0,119.7466666666667
3.0,119.7466666666667
4.0,120.70295081967214
5.0,118.40258064516132
6.0,117.76253968253968
7.0,115.58000000000001
8.0,115.00307692307695
9.0,115.00307692307695
10.0,115.00307692307695
11.0,115.91878787878787
12.0,115.87878787878788
13.0,113.78089552238805
14.0,113.74089552238803
15.0,111.74352941176468
16.0,113.21411764705883
17.0,113.17411764705884
18.0,114.64470588235295
19.0,112.62260869565219
20.0,113.55428571428573
21.0,114.98285714285714
22.0,114.98285714285714
23.0,120.09352112676058
24.0,119.50666666666669
25.0,125.06222222222223
26.0,131.26465753424657
27.0,131.89405405405407
28.0,131.89405405405407
29.0,133.2454054054054
30.0,147.17333333333335
31.0,144.94526315789474
32.0,142.77506493506493
33.0,142.77506493506493
34.0,142.77506493506493
35.0,142.77506493506493
36.0,142.77506493506493
37.0,142.77506493506493
38.0,142.77506493506493
39.0,142.77506493506493
40.0,142.77506493506493
41.0,142.77506493506493
42.0,142.77506493506493
43.0,142.77506493506493
44.0,142.77506493506493
45.0,142.77506493506493
46.0,142.77506493506493
47.0,142.77506493506493
48.0,142.77506493506493
49.0,142.77506493506493
50.0,142.77506493506493
51.0,142.77506493506493
52.0,142.77506493506493
53.0,142.77506493506493
54.0,142.77506493506493
55.0,142.77506493506493
56.0,142.77506493506493
57.0,142.77506493506493
58.0,142.77506493506493
59.0,142.77506493506493
60.0,142.77506493506493
61.0,142.77506493506493
62.0,142.77506493506493
63.0,142.77506493506493
64.0,142.77506493506493
65.0,142.77506493506493
66.0,142.77506493506493
67.0,142.77506493506493
68.0,142.77506493506493
69.0,142.77506493506493
70.0,142.77506493506493
71.0,142.77506493506493
72.0,142.77506493506493
73.0,142.77506493506493
74.0,142.77506493506493
75.0,142.77506493506493
76.0,142.77506493506493
77.0,142.77506493506493
78.0,142.77506493506493
79.0,142.77506493506493
80.0,142.77506493506493
81.0,142.77506493506493
82.0,142.77506493506493
83.0,142.77506493506493
84.0,142.77506493506493
85.0,142.77506493506493
86.0,142.77506493506493
87.0,142.77506493506493
88.0,142.77506493506493
89.0,142.77506493506493
90.0,142.77506493506493
91.0,142.77506493506493
92.0,142.77506493506493
93.0,142.77506493506493
94.0,142.77506493506493
95.0,142.77506493506493
96.0,142.77506493506493
97.0,142.77506493506493
98.0,142.77506493506493
99.0,142.77506493506493
100.0,142.77506493506493
101.0,142.77506493506493
102.0,142.77506493506493
