"tick","Performance"
1.0,-20.0
2.0,-20.0
3.0,-20.0
4.0,-20.0
5.0,-20.0
6.0,-5.714285714285722
7.0,-8.928888888888892
8.0,4.959999999999994
9.0,-4.079999999999998
10.0,5.251764705882351
11.0,9.133333333333326
12.0,11.760000000000005
13.0,5.719999999999999
14.0,2.0705882352941103
15.0,-0.8357894736842155
16.0,-6.952941176470574
17.0,-10.005901639344259
18.0,-10.214117647058828
19.0,-11.606486486486489
20.0,-10.090126582278486
21.0,-7.792941176470578
22.0,-6.81106382978723
23.0,-8.804271844660192
24.0,-7.293944954128449
25.0,-6.247179487179494
26.0,-4.559999999999988
27.0,-5.745954198473285
28.0,-0.5343283582089668
29.0,2.387058823529401
30.0,7.079999999999998
31.0,5.40164383561644
32.0,3.4071337579617875
33.0,1.5375147928994153
34.0,1.2235028248587554
35.0,2.139226519337015
36.0,1.406492146596861
37.0,0.13292929292930467
38.0,-0.8195121951219448
39.0,-0.4761904761904816
40.0,-0.8976744186046517
41.0,-0.9482352941176515
42.0,-2.211228070175437
43.0,-2.511724137931026
44.0,-6.0860759493671
45.0,-6.7692946058091366
46.0,-7.62477732793522
47.0,-7.059842519685034
48.0,-8.11065134099617
49.0,-7.790909090909096
50.0,-8.310112359550573
51.0,-9.287272727272736
52.0,-9.397864768683277
53.0,-10.130380622837379
54.0,-10.258791946308719
55.0,-10.435816993464059
56.0,-11.202428115015977
57.0,-11.314231974921626
58.0,-11.925432098765427
59.0,-12.840241691842891
60.0,-12.957647058823525
