"tick","Performance"
1.0,-20.0
2.0,-20.0
3.0,-20.0
4.0,-20.0
5.0,-20.0
6.0,-20.0
7.0,-20.040000000000006
8.0,29.92
9.0,29.92
10.0,29.92
11.0,29.92
12.0,29.92
13.0,29.92
14.0,29.92
15.0,29.92
16.0,29.92
17.0,29.92
18.0,29.92
19.0,29.92
20.0,29.92
21.0,29.92
22.0,29.92
23.0,29.92
24.0,29.92
25.0,29.92
26.0,29.92
27.0,29.92
28.0,29.92
29.0,29.92
30.0,29.92
31.0,29.92
32.0,29.92
33.0,29.92
34.0,29.92
35.0,29.92
36.0,29.92
37.0,29.92
38.0,29.92
39.0,29.92
40.0,29.92
41.0,29.92
42.0,29.92
43.0,29.92
44.0,29.92
45.0,29.92
46.0,29.92
47.0,29.92
48.0,29.92
49.0,29.92
50.0,29.92
51.0,29.92
52.0,29.92
53.0,29.92
54.0,29.92
55.0,29.92
56.0,29.92
57.0,29.92
58.0,29.92
59.0,29.92
60.0,29.92
61.0,29.92
62.0,29.92
63.0,29.92
64.0,29.92
65.0,29.92
66.0,29.92
67.0,29.92
68.0,29.92
69.0,29.92
70.0,29.92
71.0,29.92
72.0,29.92
73.0,29.92
74.0,29.92
75.0,29.92
76.0,29.92
77.0,29.92
78.0,29.92
79.0,29.92
80.0,29.92
81.0,29.92
82.0,29.92
83.0,29.92
84.0,29.92
85.0,29.92
86.0,29.92
87.0,29.92
88.0,29.92
89.0,29.92
90.0,29.92
91.0,29.92
92.0,29.92
93.0,29.92
94.0,29.92
95.0,29.92
96.0,29.92
97.0,29.92
98.0,29.92
99.0,29.92
100.0,29.92
101.0,29.92
102.0,29.92
103.0,29.92
104.0,29.92
105.0,29.92
106.0,29.92
107.0,29.92
108.0,29.92
109.0,29.92
110.0,29.92
111.0,29.92
112.0,29.92
113.0,29.92
114.0,29.92
115.0,29.92
116.0,29.92
117.0,29.92
118.0,29.92
119.0,29.92
120.0,29.92
121.0,29.92
122.0,29.92
123.0,29.92
124.0,29.92
125.0,29.92
126.0,29.92
127.0,29.92
128.0,29.92
129.0,29.92
130.0,29.92
131.0,29.92
132.0,29.92
133.0,29.92
134.0,29.92
135.0,29.92
136.0,29.92
137.0,29.92
138.0,29.92
139.0,29.92
140.0,29.92
141.0,29.92
142.0,29.92
143.0,29.92
144.0,29.92
145.0,29.92
146.0,29.92
147.0,29.92
148.0,29.92
149.0,29.92
150.0,29.92
151.0,29.92
152.0,29.92
153.0,29.92
154.0,29.92
155.0,29.92
156.0,29.92
157.0,29.92
158.0,29.92
159.0,29.92
160.0,29.92
161.0,29.92
162.0,29.92
163.0,29.92
164.0,29.92
165.0,29.92
166.0,29.92
167.0,29.92
168.0,29.92
169.0,29.92
170.0,29.92
171.0,29.92
172.0,29.92
173.0,29.92
174.0,29.92
175.0,29.92
176.0,29.92
177.0,29.92
178.0,29.92
179.0,29.92
180.0,29.92
181.0,29.92
182.0,29.92
183.0,29.92
184.0,29.92
185.0,29.92
186.0,29.92
187.0,29.92
188.0,29.92
189.0,29.92
190.0,29.92
191.0,29.92
192.0,29.92
193.0,29.92
194.0,29.92
195.0,29.92
196.0,29.92
197.0,29.92
198.0,29.92
199.0,29.92
200.0,29.92
201.0,29.92
202.0,29.92
203.0,29.92
204.0,29.92
205.0,29.92
206.0,29.92
207.0,29.92
208.0,29.92
209.0,29.92
210.0,29.92
211.0,29.92
212.0,29.92
213.0,29.92
214.0,29.92
215.0,29.92
216.0,29.92
217.0,29.92
218.0,29.92
219.0,29.92
220.0,29.92
221.0,29.92
222.0,29.92
223.0,29.92
224.0,29.92
225.0,29.92
226.0,29.92
227.0,29.92
228.0,29.92
229.0,29.92
230.0,29.92
231.0,29.92
232.0,29.92
233.0,29.92
234.0,29.92
235.0,29.92
236.0,29.92
237.0,29.92
238.0,29.92
239.0,29.92
240.0,29.92
241.0,29.92
242.0,29.92
243.0,29.92
244.0,29.92
245.0,29.92
246.0,29.92
247.0,29.92
248.0,29.92
249.0,29.92
250.0,29.92
251.0,29.92
252.0,29.92
253.0,29.92
254.0,29.92
255.0,29.92
256.0,29.92
257.0,29.92
258.0,29.92
259.0,29.92
260.0,29.92
261.0,29.92
262.0,29.92
263.0,29.92
264.0,29.92
265.0,29.92
266.0,29.92
267.0,29.92
268.0,29.92
269.0,29.92
270.0,29.92
271.0,29.92
272.0,29.92
273.0,29.92
274.0,29.92
275.0,29.92
276.0,29.92
277.0,29.92
278.0,29.92
279.0,29.92
280.0,29.92
281.0,29.92
282.0,29.92
283.0,29.92
284.0,29.92
285.0,29.92
286.0,29.92
287.0,29.92
288.0,29.92
289.0,29.92
290.0,29.92
291.0,29.92
292.0,29.92
293.0,29.92
294.0,29.92
295.0,29.92
296.0,29.92
297.0,29.92
298.0,29.92
299.0,29.92
300.0,29.92
