"tick","Performance"
1.0,-20.0
2.0,-20.0
3.0,0.0
4.0,5.0
5.0,10.0
6.0,4.959999999999994
7.0,15.634285714285724
8.0,27.24842105263157
9.0,18.930434782608685
10.0,18.965714285714284
11.0,15.08387096774193
12.0,8.467368421052626
13.0,10.392380952380947
14.0,11.058181818181808
15.0,14.49666666666667
16.0,12.879999999999995
17.0,10.875471698113202
18.0,8.877142857142857
19.0,7.670344827586206
20.0,7.352258064516121
21.0,6.325000000000003
22.0,5.025671641791035
23.0,4.510588235294122
24.0,11.25333333333333
25.0,14.071884057971019
26.0,21.421971830985925
27.0,20.695555555555558
28.0,23.572631578947366
29.0,26.230000000000004
30.0,25.099047619047624
31.0,20.732747252747245
32.0,23.439999999999998
33.0,29.522448979591843
34.0,26.71805825242717
35.0,24.052857142857135
36.0,20.459999999999994
37.0,16.946046511627912
38.0,15.705693430656922
39.0,13.655890410958904
40.0,12.36
41.0,12.40144578313253
42.0,12.39796610169492
43.0,11.6516402116402
44.0,9.238811881188127
45.0,6.027857142857144
46.0,2.5938211382113963
47.0,5.285992509363297
48.0,5.542068965517245
49.0,-0.18146627565982953
50.0,-8.797171717171722
51.0,-12.345454545454544
52.0,-13.76833333333333
53.0,-16.20307692307692
54.0,-19.03323943661971
55.0,-21.728482871125607
56.0,-28.525296803652964
57.0,-31.593889674681762
58.0,-32.94602150537635
59.0,-35.40551020408162
60.0,-36.43611650485437
61.0,-38.33058004640371
62.0,-34.32738598442714
63.0,-36.98624338624339
64.0,-39.096508577194754
