"tick","Performance"
1.0,-39.096508577194754
2.0,-39.11258064516127
3.0,-39.12862034239677
4.0,-39.1446277665996
5.0,-39.16060301507537
6.0,-39.21654618473896
7.0,-39.21654618473896
8.0,-39.27245737211635
9.0,-39.32833667334668
10.0,-39.284084084084085
11.0,-39.33999999999999
12.0,-39.395884115884115
13.0,-39.395884115884115
14.0,-39.15233532934133
15.0,-39.20845463609173
16.0,-39.248454636091736
17.0,-39.28845463609173
18.0,-39.328454636091735
19.0,-39.34454183266932
20.0,-39.10208955223881
21.0,-39.15840954274354
22.0,-39.174697120158896
23.0,-39.07539225422046
24.0,-38.992539682539686
25.0,-39.04895936570861
26.0,-38.92387734915924
27.0,-38.98039525691701
28.0,-39.036880552813415
29.0,-38.97123152709359
30.0,-38.987716535433066
31.0,-39.060589390962676
32.0,-39.11697742885181
33.0,-39.05884200196272
34.0,-39.09884200196271
35.0,-39.19529411764705
36.0,-39.23529411764706
37.0,-39.33171400587659
38.0,-39.40445747800587
39.0,-39.420781250000005
40.0,-39.35586744639377
41.0,-39.21744888023369
42.0,-39.15319727891156
43.0,-38.958833819241974
44.0,-39.032201745877785
45.0,-38.23419167473378
46.0,-38.01913043478261
47.0,-37.69065637065637
48.0,-37.76655105973025
49.0,-37.61
50.0,-37.187704130643624
51.0,-36.97951969260326
52.0,-37.07823416506719
53.0,-37.13691275167784
54.0,-37.25416267942583
55.0,-37.38977099236642
56.0,-37.48506184586108
57.0,-37.521747388414056
58.0,-37.21914691943128
59.0,-37.27478260869566
60.0,-36.995542965061375
61.0,-37.17182674199623
62.0,-37.31051740357478
63.0,-37.42779342723004
64.0,-37.581927034611795
65.0,-37.29074626865672
66.0,-36.90271880819367
67.0,-37.04003714020428
68.0,-36.65468025949953
69.0,-36.752754158964876
70.0,-36.989686924493554
71.0,-37.16701561065197
72.0,-36.82676443629697
73.0,-36.98550777676121
74.0,-37.10257064721969
75.0,-36.84494096276113
76.0,-37.0038077969175
77.0,-36.757410071942445
78.0,-36.3775313059034
79.0,-36.57594306049822
80.0,-36.37194029850747
81.0,-36.80207792207793
82.0,-36.46213857998289
83.0,-40.69180217937972
84.0,-40.679112571898116
85.0,-41.25674718196457
86.0,-41.80714060031596
87.0,-46.75505791505792
88.0,-48.040776699029124
89.0,-49.470751445086705
90.0,-51.01843575418994
91.0,-52.52236400268637
92.0,-54.25677419354838
93.0,-55.80309612983771
94.0,-48.19245687091018
95.0,-50.48398388025332
96.0,-53.000662983425414
97.0,-56.153741496598656
98.0,-59.24249128051818
99.0,-61.81397590361445
100.0,-69.30753731343283
101.0,-71.82809631985461
102.0,-75.07884700665188
103.0,-69.28555555555556
104.0,-73.21677419354839
105.0,-80.06591760299625
106.0,-83.03020408163265
107.0,-85.39020080321284
108.0,-87.79359497645213
109.0,-89.56371308016877
110.0,-91.71992495309568
111.0,-93.4298224852071
112.0,-95.06443148688047
113.0,-96.6785754985755
114.0,-102.87774647887325
115.0,-105.36195804195803
116.0,-115.39877692842254
117.0,-116.86625301620131
118.0,-108.3125590955807
119.0,-110.63695030633082
120.0,-111.65832712495768
121.0,-112.35505224132118
122.0,-113.09369127516777
123.0,-114.02160427807488
124.0,-114.59064311896034
125.0,-115.33444629198539
126.0,-115.77681697612732
127.0,-116.31181518151817
128.0,-116.85133443163096
129.0,-117.35467280499839
130.0,-117.69791926485067
131.0,-117.94564775336175
132.0,-118.32107435309533
133.0,-118.88877250409166
134.0,-119.03875776397516
135.0,-119.25766165904639
136.0,-119.40432996413435
137.0,-119.41974601107131
138.0,-119.59128171763174
139.0,-119.6751219512195
140.0,-119.85045794088992
141.0,-119.92088225754136
142.0,-120.17239144523654
143.0,-120.3000518134715
144.0,-120.35150534153448
145.0,-120.29438653285854
146.0,-120.37438653285852
147.0,-120.45438653285854
148.0,-120.54201359663321
149.0,-120.66201359663322
150.0,-120.66201359663322
151.0,-120.66201359663322
152.0,-120.66201359663322
153.0,-120.66201359663322
154.0,-120.66201359663322
155.0,-120.66201359663322
156.0,-120.66201359663322
157.0,-120.66201359663322
158.0,-120.66201359663322
159.0,-120.66201359663322
160.0,-120.66201359663322
161.0,-120.66201359663322
162.0,-120.66201359663322
163.0,-120.66201359663322
164.0,-120.66201359663322
165.0,-120.66201359663322
166.0,-120.66201359663322
167.0,-120.66201359663322
168.0,-120.66201359663322
169.0,-120.66201359663322
170.0,-120.66201359663322
171.0,-120.66201359663322
172.0,-120.66201359663322
173.0,-120.66201359663322
174.0,-120.66201359663322
175.0,-120.66201359663322
176.0,-120.66201359663322
177.0,-120.66201359663322
178.0,-120.66201359663322
179.0,-120.66201359663322
180.0,-120.66201359663322
181.0,-120.66201359663322
182.0,-120.66201359663322
183.0,-120.66201359663322
184.0,-120.66201359663322
185.0,-120.66201359663322
186.0,-120.66201359663322
187.0,-120.66201359663322
188.0,-120.66201359663322
189.0,-120.66201359663322
190.0,-120.66201359663322
191.0,-120.66201359663322
192.0,-120.66201359663322
193.0,-120.66201359663322
194.0,-120.66201359663322
195.0,-120.66201359663322
196.0,-120.66201359663322
197.0,-120.66201359663322
198.0,-120.66201359663322
199.0,-120.66201359663322
200.0,-120.66201359663322
201.0,-120.66201359663322
202.0,-120.66201359663322
203.0,-120.66201359663322
204.0,-120.66201359663322
205.0,-120.66201359663322
206.0,-120.66201359663322
207.0,-120.66201359663322
208.0,-120.66201359663322
209.0,-120.66201359663322
210.0,-120.66201359663322
211.0,-120.66201359663322
212.0,-120.66201359663322
213.0,-120.66201359663322
214.0,-120.66201359663322
215.0,-120.66201359663322
216.0,-120.66201359663322
217.0,-120.66201359663322
218.0,-120.66201359663322
219.0,-120.66201359663322
220.0,-120.66201359663322
221.0,-120.66201359663322
222.0,-120.66201359663322
223.0,-120.66201359663322
224.0,-120.66201359663322
225.0,-120.66201359663322
226.0,-120.66201359663322
227.0,-120.66201359663322
228.0,-120.66201359663322
229.0,-120.66201359663322
230.0,-120.66201359663322
231.0,-120.66201359663322
232.0,-120.66201359663322
233.0,-120.66201359663322
234.0,-120.66201359663322
235.0,-120.66201359663322
236.0,-120.66201359663322
237.0,-120.66201359663322
238.0,-120.66201359663322
239.0,-120.66201359663322
240.0,-120.66201359663322
241.0,-120.66201359663322
242.0,-120.66201359663322
243.0,-120.66201359663322
244.0,-120.66201359663322
245.0,-120.66201359663322
246.0,-120.66201359663322
247.0,-120.66201359663322
248.0,-120.66201359663322
249.0,-120.66201359663322
250.0,-120.66201359663322
251.0,-120.66201359663322
252.0,-120.66201359663322
253.0,-120.66201359663322
254.0,-120.66201359663322
255.0,-120.66201359663322
256.0,-120.66201359663322
257.0,-120.66201359663322
258.0,-120.66201359663322
259.0,-120.66201359663322
260.0,-120.66201359663322
261.0,-120.66201359663322
262.0,-120.66201359663322
263.0,-120.66201359663322
264.0,-120.66201359663322
265.0,-120.66201359663322
266.0,-120.66201359663322
267.0,-120.66201359663322
268.0,-120.66201359663322
269.0,-120.66201359663322
270.0,-120.66201359663322
271.0,-120.66201359663322
272.0,-120.66201359663322
273.0,-120.66201359663322
274.0,-120.66201359663322
275.0,-120.66201359663322
276.0,-120.66201359663322
277.0,-120.66201359663322
278.0,-120.66201359663322
279.0,-120.66201359663322
280.0,-120.66201359663322
281.0,-120.66201359663322
282.0,-120.66201359663322
283.0,-120.66201359663322
284.0,-120.66201359663322
285.0,-120.66201359663322
286.0,-120.66201359663322
287.0,-120.66201359663322
288.0,-120.66201359663322
289.0,-120.66201359663322
290.0,-120.66201359663322
291.0,-120.66201359663322
292.0,-120.66201359663322
293.0,-120.66201359663322
294.0,-120.66201359663322
295.0,-120.66201359663322
296.0,-120.66201359663322
297.0,-120.66201359663322
298.0,-120.66201359663322
299.0,-120.66201359663322
300.0,-120.66201359663322
