"tick","Performance"
1.0,154.96
2.0,146.6266666666667
3.0,157.73777777777778
4.0,168.8488888888889
5.0,149.96
6.0,154.92
7.0,156.8030769230769
8.0,144.12571428571428
9.0,151.26857142857142
10.0,153.17333333333335
11.0,153.13333333333335
12.0,179.76
13.0,184.9831578947369
14.0,179.68
15.0,170.1561904761905
16.0,179.64
17.0,183.9878260869565
18.0,205.7269565217391
19.0,205.7269565217391
20.0,196.30666666666662
21.0,187.60000000000002
22.0,206.4830769230769
23.0,201.78222222222223
24.0,205.48592592592587
25.0,200.98857142857145
26.0,196.7613793103448
27.0,224.30758620689653
28.0,234.27870967741939
29.0,234.27870967741939
30.0,226.315
31.0,218.79393939393935
32.0,218.7539393939394
33.0,218.7539393939394
34.0,211.6729411764706
35.0,217.55529411764707
36.0,204.27999999999997
37.0,220.9466666666666
38.0,219.8205405405405
39.0,218.75368421052633
40.0,212.61333333333334
41.0,212.61333333333334
42.0,212.61333333333334
43.0,212.61333333333334
44.0,212.61333333333334
45.0,212.61333333333334
46.0,212.61333333333334
47.0,212.61333333333334
48.0,212.61333333333334
49.0,212.61333333333334
50.0,212.61333333333334
51.0,212.61333333333334
52.0,212.61333333333334
53.0,212.61333333333334
54.0,212.61333333333334
55.0,212.61333333333334
56.0,212.61333333333334
57.0,212.61333333333334
58.0,212.61333333333334
59.0,212.61333333333334
60.0,212.61333333333334
61.0,212.61333333333334
62.0,212.61333333333334
63.0,212.61333333333334
64.0,212.61333333333334
65.0,212.61333333333334
66.0,212.61333333333334
67.0,212.61333333333334
68.0,212.61333333333334
69.0,212.61333333333334
70.0,212.61333333333334
71.0,212.61333333333334
72.0,212.61333333333334
73.0,212.61333333333334
74.0,212.61333333333334
75.0,212.61333333333334
76.0,212.61333333333334
77.0,212.61333333333334
78.0,212.61333333333334
79.0,212.61333333333334
80.0,212.61333333333334
81.0,212.61333333333334
82.0,212.61333333333334
83.0,212.61333333333334
84.0,212.61333333333334
85.0,212.61333333333334
86.0,212.61333333333334
87.0,212.61333333333334
88.0,212.61333333333334
89.0,212.61333333333334
90.0,212.61333333333334
91.0,212.61333333333334
92.0,212.61333333333334
93.0,212.61333333333334
94.0,212.61333333333334
95.0,212.61333333333334
96.0,212.61333333333334
97.0,212.61333333333334
98.0,212.61333333333334
99.0,212.61333333333334
100.0,212.61333333333334
101.0,212.61333333333334
102.0,212.61333333333334
103.0,212.61333333333334
104.0,212.61333333333334
105.0,212.61333333333334
106.0,212.61333333333334
107.0,212.61333333333334
108.0,212.61333333333334
109.0,212.61333333333334
110.0,212.61333333333334
111.0,212.61333333333334
112.0,212.61333333333334
113.0,212.61333333333334
114.0,212.61333333333334
115.0,212.61333333333334
116.0,212.61333333333334
117.0,212.61333333333334
118.0,212.61333333333334
119.0,212.61333333333334
120.0,212.61333333333334
121.0,212.61333333333334
122.0,212.61333333333334
123.0,212.61333333333334
124.0,212.61333333333334
125.0,212.61333333333334
126.0,212.61333333333334
127.0,212.61333333333334
128.0,212.61333333333334
129.0,212.61333333333334
130.0,212.61333333333334
131.0,212.61333333333334
132.0,212.61333333333334
133.0,212.61333333333334
134.0,212.61333333333334
135.0,212.61333333333334
136.0,212.61333333333334
137.0,212.61333333333334
138.0,212.61333333333334
139.0,212.61333333333334
140.0,212.61333333333334
141.0,212.61333333333334
142.0,212.61333333333334
143.0,212.61333333333334
144.0,212.61333333333334
145.0,212.61333333333334
146.0,212.61333333333334
147.0,212.61333333333334
