"tick","Performance"
1.0,-20.0
2.0,-20.0
3.0,13.333333333333329
4.0,30.0
5.0,40.0
6.0,30.0
7.0,46.626666666666665
8.0,37.10285714285713
9.0,25.374545454545455
10.0,22.737142857142857
11.0,13.173333333333332
12.0,8.371428571428567
13.0,4.799999999999997
14.0,15.760000000000005
15.0,6.912727272727267
16.0,14.560000000000002
17.0,14.093877551020412
18.0,17.876491228070165
19.0,13.006153846153836
20.0,12.299487179487187
21.0,9.402758620689653
22.0,12.435102040816332
23.0,12.717757009345803
24.0,9.513070866141732
25.0,7.593103448275869
26.0,6.024402515723267
27.0,3.8988764044943878
28.0,0.18000000000000682
29.0,-1.787142857142868
30.0,-5.874636015325677
31.0,-8.052733564013835
32.0,-9.970783699059552
33.0,-11.961481481481485
34.0,-13.234893617021271
35.0,-14.71604938271605
36.0,-16.390370370370363
37.0,-17.646535947712422
38.0,-19.173333333333346
39.0,-20.858267716535437
40.0,-22.020532319391634
41.0,-23.58233215547702
42.0,-24.73333333333335
43.0,-26.083432137285484
44.0,-27.409866270430896
45.0,-28.683163841807925
46.0,-29.7313672922252
47.0,-31.402268041237107
48.0,-22.825917602996256
49.0,-24.600191387559804
50.0,-26.244036697247708
51.0,-32.00175824175824
52.0,-37.87157894736842
53.0,-39.3620366598778
54.0,-40.888209099709584
55.0,-42.59591836734694
56.0,-48.26695187165775
57.0,-49.86933101650738
58.0,-41.75649241146712
59.0,-43.12425391591097
60.0,-45.05800162469537
61.0,-46.94202713487629
62.0,-48.435611285266454
63.0,-49.52059052059052
64.0,-50.93068702290076
65.0,-52.085765765765764
66.0,-52.52553663952628
67.0,-53.15792549306064
68.0,-53.85341040462428
69.0,-53.99416309012875
70.0,-54.87756718528996
71.0,-55.795087719298245
72.0,-56.62452961672473
73.0,-57.33301038062283
74.0,-57.92725274725275
75.0,-58.50716723549489
76.0,-59.21940379403794
77.0,-59.58303030303032
78.0,-60.01557046979866
79.0,-59.972904953145914
80.0,-60.24635938543756
81.0,-60.51319546364243
82.0,-60.93358189081226
83.0,-61.293581890812256
84.0,-61.33414893617021
85.0,-61.40143426294821
86.0,-61.495172413793114
87.0,-61.54202783300198
88.0,-61.62202783300199
89.0,-61.62202783300199
90.0,-61.66202783300199
91.0,-61.702027833001985
92.0,-61.742027833001984
93.0,-61.78202783300199
94.0,-61.78202783300199
95.0,-61.78202783300199
96.0,-61.78202783300199
97.0,-61.78202783300199
98.0,-61.78202783300199
99.0,-61.78202783300199
100.0,-61.78202783300199
101.0,-61.78202783300199
102.0,-61.78202783300199
103.0,-61.78202783300199
104.0,-61.78202783300199
105.0,-61.78202783300199
106.0,-61.78202783300199
107.0,-61.78202783300199
108.0,-61.78202783300199
109.0,-61.78202783300199
110.0,-61.78202783300199
111.0,-61.78202783300199
112.0,-61.78202783300199
113.0,-61.78202783300199
114.0,-61.78202783300199
115.0,-61.78202783300199
116.0,-61.78202783300199
117.0,-61.78202783300199
118.0,-61.78202783300199
119.0,-61.78202783300199
120.0,-61.78202783300199
121.0,-61.78202783300199
122.0,-61.78202783300199
123.0,-61.78202783300199
124.0,-61.78202783300199
125.0,-61.78202783300199
126.0,-61.78202783300199
127.0,-61.78202783300199
128.0,-61.78202783300199
129.0,-61.78202783300199
130.0,-61.78202783300199
131.0,-61.78202783300199
132.0,-61.78202783300199
133.0,-61.78202783300199
134.0,-61.78202783300199
135.0,-61.78202783300199
136.0,-61.78202783300199
137.0,-61.78202783300199
138.0,-61.78202783300199
139.0,-61.78202783300199
140.0,-61.78202783300199
141.0,-61.78202783300199
142.0,-61.78202783300199
143.0,-61.78202783300199
144.0,-61.78202783300199
145.0,-61.78202783300199
146.0,-61.78202783300199
147.0,-61.78202783300199
148.0,-61.78202783300199
149.0,-61.78202783300199
150.0,-61.78202783300199
151.0,-61.78202783300199
152.0,-61.78202783300199
153.0,-61.78202783300199
154.0,-61.78202783300199
155.0,-61.78202783300199
156.0,-61.78202783300199
157.0,-61.78202783300199
158.0,-61.78202783300199
159.0,-61.78202783300199
160.0,-61.78202783300199
161.0,-61.78202783300199
162.0,-61.78202783300199
163.0,-61.78202783300199
164.0,-61.78202783300199
165.0,-61.78202783300199
166.0,-61.78202783300199
167.0,-61.78202783300199
168.0,-61.78202783300199
169.0,-61.78202783300199
170.0,-61.78202783300199
171.0,-61.78202783300199
172.0,-61.78202783300199
173.0,-61.78202783300199
174.0,-61.78202783300199
175.0,-61.78202783300199
176.0,-61.78202783300199
177.0,-61.78202783300199
178.0,-61.78202783300199
179.0,-61.78202783300199
180.0,-61.78202783300199
181.0,-61.78202783300199
182.0,-61.78202783300199
183.0,-61.78202783300199
184.0,-61.78202783300199
185.0,-61.78202783300199
186.0,-61.78202783300199
187.0,-61.78202783300199
188.0,-61.78202783300199
189.0,-61.78202783300199
190.0,-61.78202783300199
191.0,-61.78202783300199
192.0,-61.78202783300199
193.0,-61.78202783300199
194.0,-61.78202783300199
195.0,-61.78202783300199
196.0,-61.78202783300199
197.0,-61.78202783300199
198.0,-61.78202783300199
199.0,-61.78202783300199
200.0,-61.78202783300199
201.0,-61.78202783300199
202.0,-61.78202783300199
203.0,-61.78202783300199
204.0,-61.78202783300199
205.0,-61.78202783300199
206.0,-61.78202783300199
207.0,-61.78202783300199
208.0,-61.78202783300199
209.0,-61.78202783300199
210.0,-61.78202783300199
211.0,-61.78202783300199
212.0,-61.78202783300199
213.0,-61.78202783300199
214.0,-61.78202783300199
215.0,-61.78202783300199
216.0,-61.78202783300199
217.0,-61.78202783300199
218.0,-61.78202783300199
219.0,-61.78202783300199
220.0,-61.78202783300199
221.0,-61.78202783300199
222.0,-61.78202783300199
223.0,-61.78202783300199
224.0,-61.78202783300199
225.0,-61.78202783300199
226.0,-61.78202783300199
227.0,-61.78202783300199
228.0,-61.78202783300199
229.0,-61.78202783300199
230.0,-61.78202783300199
231.0,-61.78202783300199
232.0,-61.78202783300199
233.0,-61.78202783300199
234.0,-61.78202783300199
235.0,-61.78202783300199
236.0,-61.78202783300199
237.0,-61.78202783300199
238.0,-61.78202783300199
239.0,-61.78202783300199
240.0,-61.78202783300199
241.0,-61.78202783300199
242.0,-61.78202783300199
243.0,-61.78202783300199
244.0,-61.78202783300199
245.0,-61.78202783300199
246.0,-61.78202783300199
247.0,-61.78202783300199
248.0,-61.78202783300199
249.0,-61.78202783300199
250.0,-61.78202783300199
251.0,-61.78202783300199
252.0,-61.78202783300199
253.0,-61.78202783300199
254.0,-61.78202783300199
255.0,-61.78202783300199
256.0,-61.78202783300199
257.0,-61.78202783300199
258.0,-61.78202783300199
259.0,-61.78202783300199
260.0,-61.78202783300199
261.0,-61.78202783300199
262.0,-61.78202783300199
263.0,-61.78202783300199
264.0,-61.78202783300199
265.0,-61.78202783300199
266.0,-61.78202783300199
267.0,-61.78202783300199
268.0,-61.78202783300199
269.0,-61.78202783300199
270.0,-61.78202783300199
271.0,-61.78202783300199
272.0,-61.78202783300199
273.0,-61.78202783300199
274.0,-61.78202783300199
275.0,-61.78202783300199
276.0,-61.78202783300199
277.0,-61.78202783300199
278.0,-61.78202783300199
279.0,-61.78202783300199
280.0,-61.78202783300199
281.0,-61.78202783300199
282.0,-61.78202783300199
283.0,-61.78202783300199
284.0,-61.78202783300199
285.0,-61.78202783300199
286.0,-61.78202783300199
287.0,-61.78202783300199
288.0,-61.78202783300199
289.0,-61.78202783300199
290.0,-61.78202783300199
291.0,-61.78202783300199
292.0,-61.78202783300199
293.0,-61.78202783300199
294.0,-61.78202783300199
295.0,-61.78202783300199
296.0,-61.78202783300199
297.0,-61.78202783300199
298.0,-61.78202783300199
299.0,-61.78202783300199
300.0,-61.78202783300199
