"Performance","tick"
1402.975570678711,1.0
1402.975570678711,2.0
4624.7896728515625,3.0
1277.3307723999023,4.0
1352.3307723999023,5.0
1179.2693187168666,6.0
1097.5980072021484,7.0
1167.5790481567383,8.0
1270.6122207641602,9.0
1190.257316632952,10.0
1429.1493252999444,11.0
1425.4578967285156,12.0
1337.1336039079938,13.0
1168.9316067770253,14.0
1189.7618408907379,15.0
1173.10999254424,16.0
1110.5255868261,17.0
1165.8931410056666,18.0
1214.9383113098145,19.0
1186.5733113098145,20.0
1220.3264717454176,21.0
1514.9883989606585,22.0
1290.1132164655412,23.0
1523.913982890361,24.0
1504.1923799080685,25.0
1363.5598629097317,26.0
1228.0568107201918,27.0
1181.9197662802303,28.0
1203.742925300889,29.0
1074.4082993678044,30.0
1068.5719835783304,31.0
1286.0358139038087,32.0
1291.2421553672232,33.0
1394.338089610412,34.0
1584.6878680717655,35.0
1175.9843102672487,36.0
1025.2990165353328,37.0
1062.0513423216187,38.0
1038.5148550415038,39.0
980.8936989610652,40.0
979.9395783203686,41.0
975.8181092415234,42.0
1004.0517031035944,43.0
1023.5111895355844,44.0
983.5770210031362,45.0
978.5381546063752,46.0
974.6050076978787,47.0
955.1072100513878,48.0
941.8416683570123,49.0
937.9990675986191,50.0
928.1812199313823,51.0
940.1608996582032,52.0
919.4705578393798,53.0
907.9738894011512,54.0
903.7137980928335,55.0
896.9811244985981,56.0
892.8856581240116,57.0
890.9858921429793,58.0
892.6062905892708,59.0
893.1421255494187,60.0
892.6811344164068,61.0
889.8862761310957,62.0
888.3145530063933,63.0
